cpf,nome ,idade,sexo,UF
1111,Julio,36,M,SP
2222,Carlos,29,M,RJ
3333,Rafael,24,M,SP
4444,Yago,46,M,SP
5555,Hector,25,M,MG
6666,Taina,23,F,RS
9999, Ana, 19, F, SP
cpf,nome ,idade,sexo,UF
1111,Julio,36,M,SP
2222,Carlos,29,M,RJ
3333,Rafael,24,M,SP
4444,Yago,46,M,SP
5555,Hector,25,M,MG
6666,Taina,23,F,RS
9999, Ana, 19, F, SP
cpf,nome ,idade,sexo,UF
1111,Julio,36,M,SP
2222,Carlos,29,M,RJ
3333,Rafael,24,M,SP
4444,Yago,46,M,SP
5555,Hector,25,M,MG
6666,Taina,23,F,RS
9999, Ana, 19, F, SP
cpf,nome ,idade,sexo,UF
1111,Julio,36,M,SP
2222,Carlos,29,M,RJ
3333,Rafael,24,M,SP
4444,Yago,46,M,SP
5555,Hector,25,M,MG
6666,Taina,23,F,RS
9999, Ana, 19, F, SP
